DOI,Authors
10.1016/j.jinorgbio.2020.111132,"Chen Jun, Tao Qin, Wu Jian, Wang Mengmeng, Su Zhi, Qian Yong, Yu Tao, Wang Yan, Xue Xuling, Liu Hong-Ke"
10.1021/acsomega.0c02079,"Havrylyuk Dmytro, Heidary David K., Sun Yang, Parkin Sean, Glazer Edith C."
10.1039/b715077f,"Rajendiran Venugopal, Murali Mariappan, Suresh Eringathodi, Palaniandavar Mallayan, Periasamy Vaiyapuri Subbarayan, Akbarsha Mohammad Abdulkader"
10.1021/acs.inorgchem.1c01363,"Chatterjee Rishav, Bhattacharya Indira, Roy Souryadip, Purkait Kallol, Koley Tuhin Subhra, Gupta Arnab, Mukherjee Arindam"
10.1021/acs.jmedchem.3c00322,"Yusoh Nur Aininie, Tiley Paul R., James Steffan D., Harun Siti Norain, Thomas Jim A., Saad Norazalina, Hii Ling-Wei, Chia Suet Lin, Gill Martin R., Ahmad Haslina"
10.1016/j.jinorgbio.2022.111803,"Yang Jing, Shi Zhengdou, Wang Wenting, Yang Bo, Gao Chuanzhu"
10.1039/d0dt03974h,"Fandzloch Marzena, Jędrzejewski Tomasz, Dobrzańska Liliana, Esteban-Parra Ginés M., Wiśniewska Joanna, Paneth Agata, Paneth Piotr, Sitkowski Jerzy"
10.1021/acs.inorgchem.3c00183,"de Araujo-Neto João Honorato, Guedes Adriana P. M., Leite Celisnolia M., Moraes Carlos André F., Santos Andressa L., Brito Rafaella da S., Rocha Thiago L., Mello-Andrade Francyelli, Ellena Javier, Batista Alzir A."
10.1021/jacs.1c01424,"Wang Wen-Jin, Mu Xia, Tan Cai-Ping, Wang Yu-Jian, Zhang Yuebin, Li Guohui, Mao Zong-Wan"
10.1016/j.ejmech.2019.112030,"Golbaghi Golara, Pitard Irène, Lucas Matthieu, Haghdoost Mohammad Mehdi, de los Santos Yossef López, Doucet Nicolas, Patten Shunmoogum A., Sanderson J. Thomas, Castonguay Annie"
10.1021/jacs.2c11111,"Elgar Christopher E., Yusoh Nur Aininie, Tiley Paul R., Kolozsvári Natália, Bennett Laura G., Gamble Amelia, Péan Emmanuel V., Davies Matthew L., Staples Christopher J., Ahmad Haslina, Gill Martin R."
10.3390/pharmaceutics14020238,"Baier Dina, Schoenhacker-Alte Beatrix, Rusz Mate, Pirker Christine, Mohr Thomas, Mendrina Theresa, Kirchhofer Dominik, Meier-Menches Samuel M., Hohenwallner Katharina, Schaier Martin, Rampler Evelyn, Koellensperger Gunda, Heffeter Petra, Keppler Bernhard, Berger Walter"
10.1038/srep45236,"Irace Carlo, Misso Gabriella, Capuozzo Antonella, Piccolo Marialuisa, Riccardi Claudia, Luchini Alessandra, Caraglia Michele, Paduano Luigi, Montesarchio Daniela, Santamaria Rita"
10.1021/acs.inorgchem.1c00641,"Biancalana Lorenzo, Kostrhunova Hana, Batchelor Lucinda K., Hadiji Mouna, Degano Ilaria, Pampaloni Guido, Zacchini Stefano, Dyson Paul J., Brabec Viktor, Marchetti Fabio"
10.1002/cbic.202000289,"Roy Saonli, Colombo Elisa, Vinck Robin, Mari Cristina, Rubbiani Riccardo, Patra Malay, Gasser Gilles"
10.1016/j.msec.2020.111106,"de Oliveira Tamires D., Plutín Ana M., Luna-Dulcey Liany, Castellano Eduardo E., Cominetti Márcia R., Batista Alzir A."
10.1016/j.cbi.2021.109522,"Zanda Emanuele, Busto Natalia, Biancalana Lorenzo, Zacchini Stefano, Biver Tarita, Garcia Begoña, Marchetti Fabio"
10.1016/j.jinorgbio.2021.111497,"Rinaldi-Neto Francisco, Ribeiro Arthur Barcelos, Ferreira Natália Helen, Squarisi Iara Silva, Oliveira Kátia Mara, Orenha Renato Pereira, Parreira Renato Luís Tame, Batista Alzir Azevedo, Tavares Denise Crispim"
10.3390/ijms23094976,"Hildebrandt Jana, Häfner Norman, Kritsch Daniel, Görls Helmar, Dürst Matthias, Runnebaum Ingo B., Weigand Wolfgang"
10.3390/cancers15010069,"Albanell-Fernández Marta, Oltra Sara S., Orts-Arroyo Marta, Ibarrola-Villava Maider, Carrasco Fany, Jiménez-Martí Elena, Cervantes Andrés, Castro Isabel, Martínez-Lillo José, Ribas Gloria"
10.1016/j.jinorgbio.2023.112295,"Tang Hong, Guo Xinhua, Yu Wenzhu, Gao Jie, Zhu Xufeng, Huang Zunnan, Ou Wenhui, Zhang Hanfu, Chen Lanmei, Chen Jincan"
10.1021/acs.inorgchem.2c03279,"Hu Xueyan, Guo Lihua, Liu Mengqi, Zhang Qiuya, Gong Yuwen, Sun Mengru, Feng Shenghan, Xu Youzhi, Liu Yiming, Liu Zhe"
10.1039/d0dt02167a,"Kumar Priyaranjan, Mondal Indranil, Kulshreshtha Ritu, Patra Ashis K."
10.1002/chem.202202694,"Sahu Gurunath, Patra Sushree Aradhana, Lima Sudhir, Das Sanchita, Görls Helmar, Plass Winfried, Dinda Rupam"
10.1039/d0dt03490h,"Graminha Angelica E., Honorato João, Correa Rodrigo S., Cominetti Marcia R., Menezes Antônio C. S., Batista Alzir A."
10.1021/acs.inorgchem.1c02929,"Miachin Kirill, Del Solar Virginia, El Khoury Elsy, Nayeem Nazia, Khrystenko Anton, Appelt Patricia, Neary Michelle C., Buccella Daniela, Contel Maria"
10.1016/j.jinorgbio.2022.111963,"Liang Lijuan, Wu Xiaoyun, Shi Chuanling, Wen Haoyu, Wu Shouhai, Chen Jing, Huang Chunxia, Wang Yi, Liu Yunjun"
10.1039/d1dt01604k,"Kar Binoy, Das Utpal, De Sourav, Pete Sudhindra, Sharma S Ajay, Roy Nilmadhab, S. K. Ashok Kumar, Panda Debashis, Paira Priyankar"
10.1016/j.ica.2020.120066,"De Sourav, Selva Kumar R., Gauthaman Ashna, Ashok Kumar S.K., Paira Priyankar, Moorthy Anbalagan, Banerjee Subhasis"
10.1039/D0NJ00273A,"Ramachandran Mohanraj, Anandan Sambandam"
10.1039/C9SC05671H,"Alatrash Nagham, Issa Faiza H., Bawazir Nada S., West Savannah J., Van Manen-Brush Kathleen E., Shelor Charles P., Dayoub Adam S., Myers Kenneth A., Janetopoulos Christopher, Lewis Edwin A., MacDonnell Frederick M."
10.1016/j.ejmech.2022.114312,"Li Yu-Lan, Zhu Xiao-Min, Chen Nan-Feng, Chen Shao-Ting, Yang Yang, Liang Hong, Chen Zhen-Feng"
10.1016/j.jinorgbio.2022.111729,"Pan Nan-Lian, Liao Jia-Xin, Huang Min-Ying, Zhang Yu-Qing, Chen Jia-Xi, Zhang Ze-Wei, Yang Zhi-Xin, Long Xiong-En, Wu Xing-Tao, Sun Jing"
10.1016/j.ejmech.2022.114772,"Graminha Angelica E., Popolin Cecília, Honorato de Araujo-Neto João, Correa Rodrigo S., de Oliveira Kátia M., Godoy Luani R., Vegas Legna Colina, Ellena Javier, Batista Alzir A., Cominetti Marcia R."
10.1016/j.jinorgbio.2022.112059,"Nongpiur Carley Giffert L., Verma Akalesh Kumar, Singh Rohit Kumar, Ghate Mayur Mohan, Poluri Krishna Mohan, Kaminsky Werner, Kollipara Mohan Rao"
10.3390/pharmaceutics14061293,"Teixeira-Guedes Catarina, Brás Ana Rita, Teixeira Ricardo G., Valente Andreia, Preto Ana"
10.1039/d2md00304j,"Khater Mai, Brazier John A., Greco Francesca, Osborn Helen M. I."
10.1016/j.jinorgbio.2020.111080,"Solís-Ruiz Jorge Andrés, Barthe Anaïs, Riegel Gilles, Saavedra-Díaz Rafael Omar, Gaiddon Christian, Le Lagadec Ronan"
10.1002/cbic.202200647,"Silva Maria J. S. A., Vinck Robin, Wang Youchao, Saubaméa Bruno, Tharaud Mickaël, Dominguez‐Jurado Elena, Karges Johannes, Gois Pedro M. P., Gasser Gilles"
10.3390/ijerph192013624,"Noureldeen Amani F. H., Aziz Safa W., Shouman Samia A., Mohamed Magdy M., Attia Yasmin M., Ramadan Ramadan M., Elhady Mostafa M."
10.1039/d2dt02328h,"Pagliaricci Noemi, Pettinari Riccardo, Marchetti Fabio, Pettinari Claudio, Cappellacci Loredana, Tombesi Alessia, Cuccioloni Massimiliano, Hadiji Mouna, Dyson Paul J."
10.1016/j.jinorgbio.2020.111155,"Pavlović Marijana, Tadić Ana, Gligorijević Nevenka, Poljarević Jelena, Petrović Tamara, Dojčinović Biljana, Savić Aleksandar, Radulović Siniša, Grgurić-Šipka Sanja, Aranđelović Sandra"
10.3389/fonc.2021.682968,"De Grandis Rone A., Oliveira Katia M., Guedes Adriana P. M., dos Santos Patrick W. S., Aissa Alexandre F., Batista Alzir A., Pavan Fernando R."
10.1016/j.jinorgbio.2020.111104,"Jiang Guang-Bin, Zhang Wen-Yao, He Miao, Gu Yi-Ying, Bai Lan, Wang Yang-Jie, Yi Qiao-Yan, Du Fan"
10.1016/j.poly.2020.114569,"Maikoo Sanam, Dingle Laura Margaret Kirkpatrick, Chakraborty Abir, Xulu Bheki, Edkins Adrienne Lesley, Booysen Irvin Noel"
10.1039/d0cc04397d,"Estalayo-Adrián Sandra, Blasco Salvador, Bright Sandra A., McManus Gavin J., Orellana Guillermo, Williams D. Clive, Kelly John M., Gunnlaugsson Thorfinnur"
10.1021/acsabm.1c00284,"Estalayo-Adrián Sandra, Blasco Salvador, Bright Sandra A., McManus Gavin J., Orellana Guillermo, Williams D. Clive, Kelly John M., Gunnlaugsson Thorfinnur"
10.1021/acs.inorgchem.3c02606,"Pozza Maria Dalla, Mesdom Pierre, Abdullrahman Ahmad, Prieto Otoya Tayler D., Arnoux Philippe, Frochot Céline, Niogret Germain, Saubaméa Bruno, Burckel Pierre, Hall James P., Hollenstein Marcel, Cardin Christine J., Gasser Gilles"
10.1186/s12951-021-00799-3,"Lu Yu, Zhu Di, Gui Lin, Li Yuanming, Wang Wenjing, Liu Jiawang, Wang Yuji"
10.1038/s41598-023-28454-x,"Yusoh Nur Aininie, Chia Suet Lin, Saad Norazalina, Ahmad Haslina, Gill Martin R."
10.3390/ijms232113594,"Lenis-Rojas Oscar A., Roma-Rodrigues Catarina, Carvalho Beatriz, Cabezas-Sainz Pablo, Fernández Vila Sabela, Sánchez Laura, Baptista Pedro V., Fernandes Alexandra R., Royo Beatriz"
10.3390/cancers15010028,"Park Brian J., Raha Paromita, Pankovich Jim, Bazett Mark"
10.3390/app11188594,"Mihaila Mirela, Hotnog Camelia Mia, Bostan Marinela, Munteanu Alexandra Cristina, Vacaroiu Ileana Adela, Brasoveanu Lorelei Irina, Uivarosi Valentina"
10.1016/j.molstruc.2023.135474,"Nongpiur Carley Giffert L, Verma Akalesh Kumar, Ghate Mayur Mohan, Poluri Krishna Mohan, Kaminsky Werner, Kollipara Mohan Rao"
10.1039/D2QI02678C,"Giacomazzo Gina Elena, Schlich Michele, Casula Luca, Galantini Luciano, Del Giudice Alessandra, Pietraperzia Giangaetano, Sinico Chiara, Cencetti Francesca, Pecchioli Sara, Valtancoli Barbara, Conti Luca, Murgia Sergio, Giorgi Claudia"
10.3390/antibiotics12040693,"Ceramella Jessica, Troiano Rubina, Iacopetta Domenico, Mariconda Annaluisa, Pellegrino Michele, Catalano Alessia, Saturnino Carmela, Aquaro Stefano, Sinicropi Maria Stefania, Longo Pasquale"
10.1016/j.ica.2022.120879,"Matveevskaya Vladislava V., Pavlov Dmitry I., Samsonenko Denis G., Bonfili Laura, Cuccioloni Massimiliano, Benassi Enrico, Pettinari Riccardo, Potapov Andrei S."
10.1021/acsomega.0c01204,"Matveevskaya Vladislava V., Pavlov Dmitry I., Sukhikh Taisiya S., Gushchin Artem L., Ivanov Alexander Yu., Tennikova Tatiana B., Sharoyko Vladimir V., Baykov Sergey V., Benassi Enrico, Potapov Andrei S."
10.1016/j.jinorgbio.2020.111021,"Graminha Angelica E., Honorato João, Dulcey Liany Luna, Godoy Luani Rezende, Barbosa Marília F., Cominetti Marcia R., Menezes Antonio C., Batista Alzir A."
10.3390/molecules25102383,"Cross Jasmine M., Blower Tim R., Kingdon Alexander D. H., Pal Robert, Picton David M., Walton James W."
10.3390/molecules26134073,"Dalla Pozza Maria, Orvain Christophe, Brustolin Leonardo, Pettenuzzo Nicolò, Nardon Chiara, Gaiddon Christian, Fregona Dolores"
10.1002/chem.202002052,"Wilson Christopher S., Prior Timothy J., Sandland Jordon, Savoie Huguette, Boyle Ross W., Murray Benjamin S."
10.1002/anie.202208570,"Yang Qi‐Yuan, Ma Rui, Gu Yun‐Qiong, Xu Xiao‐Fang, Chen Zhen‐Feng, Liang Hong"
10.3390/ph14060518,"Pivarcsik Tamás, Tóth Gábor, Szemerédi Nikoletta, Bogdanov Anita, Spengler Gabriella, Kljun Jakob, Kladnik Jerneja, Turel Iztok, Enyedy Éva A."
10.1002/ejic.202200487,"Paul Subhadeep, Sahoo Subhadarsini, Sahoo Somarupa, Jayabaskaran Chelliah, Chakravarty Akhil R."
10.1039/C9DT04825A,"Chen Weiguang, Egly Julien, Poblador-Bahamonde Amalia I., Maisse-Francois Aline, Bellemin-Laponnaz Stéphane, Achard Thierry"
10.1007/s00775-021-01873-9,"Marloye Mickaël, Inam Haider, Moore Connor J., Debaille Vinciane, Pritchard Justin R., Gelbcke Michel, Meyer Franck, Dufrasne François, Berger Gilles"
10.3390/pharmaceutics13020150,"Harun Siti Norain, Ahmad Haslina, Lim Hong Ngee, Chia Suet Lin, Gill Martin R."
10.3390/ph15070862,"Morais Tânia S., Marques Fernanda, Madeira Paulo J. Amorim, Robalo Maria Paula, Garcia Maria Helena"
10.1039/D0DT01547D,"Chen Shujiao, Liu Xicheng, Huang Jie, Ge Xingxing, Wang Qinghui, Yao Meimei, Shao Yue, Liu Tong, Yuan Xiang-Ai, Tian Laijin, Liu Zhe"
10.1039/d0cc01148g,"Liu Jiangping, Liao Xinxing, Xiong Kai, Kuang Shi, Jin Chengzhi, Ji Liangnian, Chao Hui"
10.1038/s41467-020-16993-0,"Karges Johannes, Kuang Shi, Maschietto Federica, Blacque Olivier, Ciofini Ilaria, Chao Hui, Gasser Gilles"
10.1039/d0dt01412e,"Wen Ya, Ouyang Cheng, Li Quanwen, Rees Thomas W., Qiu Kangqiang, Ji Liangnian, Chao Hui"
10.1021/acs.inorgchem.1c01083,"Geisler Heiko, Westermayr Julia, Cseh Klaudia, Wenisch Dominik, Fuchs Valentin, Harringer Sophia, Plutzar Sarah, Gajic Natalie, Hejl Michaela, Jakupec Michael A., Marquetand Philipp, Kandioller Wolfgang"
10.1039/C9DT04462K,"Geisler Heiko, Wernitznig Debora, Hejl Michaela, Gajic Natalie, Jakupec Michael A., Kandioller Wolfgang, Keppler Bernhard K."
10.3390/molecules28010040,"Rogala Patrycja, Jabłońska-Wawrzycka Agnieszka, Czerwonka Grzegorz, Kazimierczuk Katarzyna, Gałczyńska Katarzyna, Michałkiewicz Sławomir, Kalinowska-Tłuścik Justyna, Karpiel Marta, Klika Karel D."
10.1039/C7DT01767G,"Hackl Carmen M., Schoenhacker-Alte Beatrix, Klose Matthias H. M., Henke Helena, Legina Maria S., Jakupec Michael A., Berger Walter, Keppler Bernhard K., Brüggemann Oliver, Teasdale Ian, Heffeter Petra, Kandioller Wolfgang"
10.1016/j.jorganchem.2019.121070,"Mészáros János P., Geisler Heiko, Poljarević Jelena M., Roller Alexander, Legina Maria S., Hejl Michaela, Jakupec Michael A., Keppler Bernhard K., Kandioller Wolfgang, Enyedy Éva A."
10.3390/ijms221910454,"Kacsir István, Sipos Adrienn, Ujlaki Gyula, Buglyó Péter, Somsák László, Bai Péter, Bokor Éva"
10.1016/j.ejmech.2023.115541,"Chen Yichuan, Li Wenlong, Yang Yan, Zhong Ruitong, Hu Huiyan, Huang Chunxia, Chen Jing, Liang Lijuan, Liu Yunjun"
10.1021/jm301376a,"Kurzwernhart Andrea, Kandioller Wolfgang, Bächler Simone, Bartel Caroline, Martic Sanela, Buczkowska Magdalena, Mühlgassner Gerhard, Jakupec Michael A., Kraatz Heinz-Bernhard, Bednarski Patrick J., Arion Vladimir B., Marko Doris, Keppler Bernhard K., Hartinger Christian G."
10.1039/C6DT01110A,"Kubanik Mario, Kandioller Wolfgang, Kim Kunwoo, Anderson Robert F., Klapproth Erik, Jakupec Michael A., Roller Alexander, Söhnel Tilo, Keppler Bernhard K., Hartinger Christian G."
10.1039/C3CC40432C,"Kandioller Wolfgang, Balsano Evelyn, Meier Samuel M., Jungwirth Ute, Göschl Simone, Roller Alexander, Jakupec Michael A., Berger Walter, Keppler Bernhard K., Hartinger Christian G."
10.1021/acs.inorgchem.1c02648,"Zain Aldin Mohammed, Zaragoza Guillermo, Deschamps William, Tomani Jean-Claude Didelot, Souopgui Jacob, Delaude Lionel"
10.3390/molecules26010076,"Alsaeedi Mona S., Babgi Bandar A., Abdellattif Magda H., Jedidi Abdesslem, Humphrey Mark G., Hussien Mostafa A."
10.1016/j.ica.2021.120610,"Pettinari Riccardo, Marchetti Fabio, Tombesi Alessia, Di Nicola Corrado, Pettinari Claudio, Guo Chuanpan, Zhang Zhihong, Galindo Agustín, Fadaei-Tirani Farzaneh, Hadiji Mouna, Dyson Paul J."
10.1039/d2dt03009h,"Gobbo Alberto, Pereira Sarah A. P., Biancalana Lorenzo, Zacchini Stefano, Saraiva M. Lúcia M. F. S., Dyson Paul J., Marchetti Fabio"
10.1021/acs.inorgchem.3c00585,"Tang Shi-Jie, Wang Meng-Fan, Yang Rong, Liu Meng, Li Qing-Fang, Gao Feng"
10.1016/j.inoche.2023.110662,"Kumarasamy Keerthika, Devendhiran Tamiloli, Asokan Shibu Marthandam, Mahendran Ramasamy, Lin Mei-Ching, Chien Wei-Jyun, Ramasamy Selva Kumar, Huang Chih-Yang"
10.1016/j.jinorgbio.2023.112230,"Hu Huiyan, Zhang Huiwen, Zhong Ruitong, Yang Yan, Huang Chunxia, Chen Jing, Liang Lijuan, Chen Yichuan, Liu Yunjun"
10.1002/anie.202303931,"Shum Justin, Lee Lawrence Cho‐Cheung, Chiang Michael Wai‐Lun, Lam Yun‐Wah, Lo Kenneth Kam‐Wing"
10.1039/d0dt03165h,"Harringer Sophia, Wernitznig Debora, Gajic Natalie, Diridl Andreas, Wenisch Dominik, Hejl Michaela, Jakupec Michael A., Theiner Sarah, Koellensperger Gunda, Kandioller Wolfgang, Keppler Bernhard K."
10.1016/j.molstruc.2023.135994,"Sawkmie Merrily, Bhattacharyya Mayuri, Banothu Venkanna, Kaminsky Werner, Gannon Paige M., Majaw Suktilang, Kollipara Mohan Rao"
10.1021/acs.inorgchem.3c03471,"Guo Lihua, Li Pengwei, Li Jiaxing, Gong Yuwen, Li Xiaoyuan, Wen Tingjun, Wu Xinxin, Yang Xinyi, Liu Zhe"
10.1039/d0sc02825h,"Gill Martin R., Walker Michael G., Able Sarah, Tietz Ole, Lakshminarayanan Abirami, Anderson Rachel, Chalk Rod, El-Sagheer Afaf H., Brown Tom, Thomas Jim A., Vallis Katherine A."
10.1039/d0dt02967j,"Srivastava Payal, Verma Madhu, Kumar Anmol, Srivastava Priyanka, Mishra Ramranjan, Sivakumar Sri, Patra Ashis K."
10.1016/j.jinorgbio.2023.112195,"Hu Guojing, Lv Mengdi, Guo Binglian, Huang Yuanlei, Su Zhi, Qian Yong, Xue Xuling, Liu Hong-Ke"
10.1016/j.jinorgbio.2023.112365,"Huang Minying, Zhang Yuqing, Gong Yao, Liang Zhijun, Chen Xide, Ni Yunxin, Pan Xinjie, Wu Wei, Chen Jiaxi, Huang Zunnan, Sun Jing"
10.1016/j.jinorgbio.2023.112308,"Althobaiti Fayez, Sahyon Heba A., Shanab Mai M.A.H., Aldhahrani Adil, Helal Marihan A., Khireldin Awad, Shoair Abdel Ghany F., Almalki Abdulraheem S.A., Fathy Ahmed M."
10.3390/molecules27123676,"Hu Xia, Luo Qian, Qin Yao, Wu Yao, Liu Xue-Wen"
10.1002/aoc.6595,"Juszczak Michał, Kluska Magdalena, Kosińska Aneta, Palusiak Marcin, Rybarczyk‐Pirek Agnieszka J., Wzgarda‐Raj Kinga, Rudolf Bogna, Woźniak Katarzyna"
